Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex3,group_size,Core,prevalence,fidelity
Bacillus,8,8,4.26923929917943,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,45
Clostridium_sensu_stricto_13,6,6,1.65225105344866,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,21
Mycobacterium,9,9,1.46373918829009,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,50
Sva0081_sediment_group,9,9,1.33067198935463,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,9
Clostridium_sensu_stricto_1,7,6,1.1643379906853,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,20
MFD_g_2744,9,9,1.09780439121757,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,8
Halobacillus,8,7,1.03127079174983,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,2
Nocardioides,7,6,1.00909292526059,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,37
Pir4_lineage,9,8,0.776225327123531,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,36
MFD_g_144,7,5,0.754047460634287,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,36
Ilumatobacter,8,8,0.698602794411178,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,12
Subgroup_23,8,7,0.676424927921935,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,4
Desulfosarcina,6,5,0.620980261698825,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,2
Streptomyces,8,5,0.598802395209581,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,35
MFD_g_2945,8,8,0.554446662231094,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,8
MFD_g_244,6,5,0.521179862497228,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,1
Desulfobacca,9,7,0.487913062763363,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,11
Desulfatiglans,8,7,0.410290530051009,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,6
MFD_g_657,7,6,0.399201596806387,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,4
MFD_g_2539,8,6,0.388112663561765,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,1
Defluviicoccus,7,5,0.365934797072522,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,5
MFD_g_2750,9,8,0.321579064094034,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,5
SEEP-SRB1,8,5,0.321579064094034,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,2
Luteolibacter,9,7,0.310490130849412,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,8
Bauldia,6,5,0.29940119760479,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,10
Ignavibacterium,7,6,0.29940119760479,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,2
MFD_g_1377,6,6,0.266134397870925,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,1
IMCC26207,7,5,0.243956531381681,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,1
MFD_g_2244,8,8,0.221778664892437,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.888888888888889,1
MFD_g_10515,5,5,0.221778664892437,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.555555555555556,3
Pirellula,7,5,0.199600798403193,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,21
Blastopirellula,9,6,0.17742293191395,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,1,3
MFD_g_1295,6,5,0.17742293191395,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,1
MFD_g_3191,6,5,0.166333998669328,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,2
Methyloceanibacter,6,5,0.166333998669328,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.666666666666667,1
Rhodopirellula,7,6,0.155245065424706,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,4
Hyphomicrobium,7,5,0.155245065424706,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake shores and lagoons",9,5,0.777777777777778,22
Clostridium_sensu_stricto_1,41,40,1.54452998764376,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake, Rich pondweed",42,21,0.976190476190476,20
Clostridium_sensu_stricto_13,39,38,1.53264898773881,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake, Rich pondweed",42,21,0.928571428571429,21
Bacillus,39,38,1.43997718848018,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake, Rich pondweed",42,21,0.928571428571429,45
MFD_g_2945,40,40,0.755631593954948,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake, Rich pondweed",42,21,0.952380952380952,8
Desulfobacca,38,36,0.746126794030986,Core,"Sediment, Natural, Freshwater, Standing freshwater, Lake, Rich pondweed",42,21,0.904761904761905,11
